id,archivo,metodo,ruta,linea,hits_prod_10d,estado,detalle
259,orders.php,POST,/ordenes/contexto-ia,4834,0,PENDIENTE,
260,orders.php,POST,/presupuesto/{id}/convertir-a-orden,5461,0,PENDIENTE,
261,payments.php,POST,/pagos/terminar-planilla,12,0,PENDIENTE,
270,payments.php,POST,/pagos/semana,1657,0,PENDIENTE,
271,payments.php,POST,/pagos/semana/OLD,1821,0,PENDIENTE,
272,printers.php,POST,/impresoras,10,0,PENDIENTE,
275,printers.php,PUT,/impresoras/{id},366,0,PENDIENTE,
276,printers.php,POST,/inventario-tintas,448,0,PENDIENTE,
277,printers.php,DELETE,/impresoras/{id},520,0,PENDIENTE,
295,production.php,POST,/produccion/terminar/{id},1599,0,PENDIENTE,
296,production.php,POST,/produccion/asignar-varias-ordenes-a-corte,1655,0,PENDIENTE,
297,production.php,POST,/produccion/update/paso,1708,0,PENDIENTE,
305,production.php,POST,/production/corte/ajuste,2090,0,PENDIENTE,
306,production.php,POST,/production/corte/crear-orden-stock-manual,2158,0,PENDIENTE,
307,production.php,POST,/production/corte/finalizar-tarea,2198,0,PENDIENTE,
311,products.php,POST,/products-attributes,33,0,PENDIENTE,
313,products.php,POST,/products-attributes/editar,70,0,PENDIENTE,
314,products.php,POST,/products-attributes/eliminar,89,0,PENDIENTE,
318,products.php,POST,/products/{name}/{sku}/{price}/{stock_quantity}/{categories}/{sizes},142,0,PENDIENTE,
321,products.php,POST,/editar-producto-precios,188,0,PENDIENTE,
322,products.php,DELETE,/products-prices/{id},234,0,PENDIENTE,
323,products.php,PUT,/products/stock/{id}/{stock_quantity},277,0,PENDIENTE,
324,products.php,DELETE,/products/{id},288,0,PENDIENTE,
325,products.php,POST,/product-set-comision-producto,307,0,PENDIENTE,
326,products.php,POST,/product-set-comisiones-batch,399,0,PENDIENTE,
343,products.php,POST,/customers/reactivar,862,0,PENDIENTE,
347,products.php,POST,/departamentos/nuevo,935,0,PENDIENTE,
348,products.php,POST,/departamentos/editar,958,0,PENDIENTE,
349,products.php,POST,/departamentos/editar/mensaje,976,0,PENDIENTE,
350,products.php,DELETE,/departamentos/{id_departamento},992,0,PENDIENTE,
351,products.php,POST,/departamentos/orden-paso,1007,0,PENDIENTE,
354,products.php,POST,/sizes,1057,0,PENDIENTE,
355,products.php,POST,/sizes/editar,1079,0,PENDIENTE,
356,products.php,POST,/sizes/eliminar,1099,0,PENDIENTE,
357,products.php,POST,/categories,1120,0,PENDIENTE,
363,products.php,POST,/lotes/empleados/reasignar-masiva,1441,0,PENDIENTE,
382,tables.php,POST,/orden/guardar,361,0,PENDIENTE,
