id,archivo,metodo,ruta,linea,fase,estado,detalle,fecha_verificacion
30,catalogs.php,GET,/insumos-productos-asignados,493,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:03
31,catalogs.php,GET,/tiempos-de-produccion,526,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:04
32,catalogs.php,POST,/tiempos-de-produccion,552,2-escritura-manual,PENDIENTE,,
33,catalogs.php,POST,/tiempos-de-produccion/usa-desperdicio,585,2-escritura-manual,PENDIENTE,,
34,catalogs.php,POST,/insumos-productos,614,2-escritura-manual,PENDIENTE,,
35,communications.php,POST,/config/select-empleados,14,2-escritura-manual,PENDIENTE,,
36,communications.php,POST,/send-message,90,2-escritura-manual,PENDIENTE,,
37,communications.php,GET,/ws/departamentos,148,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:05
38,communications.php,POST,/ws/build-message,176,2-escritura-manual,PENDIENTE,,
39,communications.php,POST,/ws/build-message/interno,394,2-escritura-manual,PENDIENTE,,
40,communications.php,POST,/update-message,503,2-escritura-manual,PENDIENTE,,
41,communications.php,GET,/config,533,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:06
42,communications.php,POST,/departamentos/editar/settings,574,2-escritura-manual,PENDIENTE,,
43,communications.php,POST,/send-message-produccion,667,2-escritura-manual,PENDIENTE,,
44,communications.php,GET,/next-id-order,803,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:07
45,communications.php,GET,/next-id-budget,824,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:08
46,config.php,POST,/configuracion/admin/{id},11,2-escritura-manual,PENDIENTE,,
47,config.php,POST,/configuracion/empresa/{id},56,2-escritura-manual,PENDIENTE,,
48,config.php,POST,/configuracion/monedas,137,2-escritura-manual,PENDIENTE,,
49,config.php,POST,/configuracion/horario,211,2-escritura-manual,PENDIENTE,,
50,config.php,POST,/configuracion/personalizacion,291,2-escritura-manual,PENDIENTE,,
51,config.php,POST,/configuracion/gastos,388,2-escritura-manual,PENDIENTE,,
52,config.php,GET,/gastos,496,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:09
53,config.php,POST,/gastos,520,2-escritura-manual,PENDIENTE,,
54,config.php,PUT,/gastos/{id},561,2-escritura-manual,PENDIENTE,,
55,config.php,DELETE,/gastos/{id},597,2-escritura-manual,PENDIENTE,,
56,config.php,GET,/gastos/registros,619,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:09
57,config.php,POST,/gastos/registros,663,2-escritura-manual,PENDIENTE,,
58,config.php,PUT,/gastos/registros/{id},712,2-escritura-manual,PENDIENTE,,
59,config.php,DELETE,/gastos/registros/{id},777,2-escritura-manual,PENDIENTE,,
60,config.php,GET,/gastos/auditoria,826,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:10
61,config.php,GET,/gastos/auditoria/{id_registro},864,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:11
62,config.php,GET,/gastos/pendientes,882,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:12
63,config.php,POST,/config/multiplicador-precio,911,2-escritura-manual,PENDIENTE,,
64,crm.php,GET,/crm/oportunidades,10,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:12
65,crm.php,POST,/crm/oportunidades/nueva,63,2-escritura-manual,PENDIENTE,,
66,crm.php,PUT,/crm/oportunidades/estado,109,2-escritura-manual,PENDIENTE,,
67,crm.php,GET,/customers/orders-local/{id_customer},137,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:13
68,crm.php,GET,/customers/presupuestos-local/{id_customer},186,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:14
69,crm.php,GET,/crm/notas/{id_customer},233,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:15
70,crm.php,POST,/crm/notas/nueva,270,2-escritura-manual,PENDIENTE,,
71,crm.php,GET,/crm/soporte/{id_customer},300,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:15
72,crm.php,POST,/crm/soporte/nueva,323,2-escritura-manual,PENDIENTE,,
73,crm.php,PUT,/crm/soporte/estado,353,2-escritura-manual,PENDIENTE,,
74,crm.php,POST,/crm/campanas/enviar,380,2-escritura-manual,PENDIENTE,,
75,crm.php,GET,/crm/reports/dashboard,476,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:16
76,crm.php,GET,/crm/clientes-por-producto/{id_product},578,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:17
77,designs.php,GET,/diseno/revisiones,12,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:18
78,designs.php,GET,/diseno/revisiones/{id_empleado},53,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:18
79,designs.php,GET,/diseno/aprobado/{id_orden},70,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:19
80,designs.php,POST,/disenos/link,90,2-escritura-manual,PENDIENTE,,
81,designs.php,POST,/diseno/update-tipo,106,2-escritura-manual,PENDIENTE,,
82,designs.php,GET,/disenos/aprobacion-de-cliente/{id_orden},154,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:20
83,designs.php,POST,/disenos/parobacion-de-cliente,182,2-escritura-manual,PENDIENTE,,
84,designs.php,POST,/diseno/ajustes-y-personalizaciones,202,2-escritura-manual,PENDIENTE,,
85,designs.php,GET,/disenos/ajustes-y-personalizaciones/{id_diseno},274,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:21
86,designs.php,GET,/disenos/link/{id},289,1-GET-auto,OK,"HTTP 200, respuesta no-JSON (revisar manualmente si es esperado)",2026-07-13 14:31:21
87,designs.php,GET,/disenos/codigo/{id},304,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:22
88,designs.php,POST,/disenos/codigo,319,2-escritura-manual,PENDIENTE,,
89,designs.php,POST,/disenador-asignado,334,2-escritura-manual,PENDIENTE,,
90,designs.php,GET,/disenos,362,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:23
91,designs.php,POST,/disenos/nuevo-con-revision,464,2-escritura-manual,PENDIENTE,,
92,designs.php,GET,/disenos/asignados,530,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:24
93,designs.php,GET,/disenos/asignar/{id_orden},554,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:24
94,designs.php,GET,/disenos/terminados,587,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:25
95,designs.php,GET,/disenos/asignados/{id_empleado},657,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:26
96,designs.php,GET,/disenos/pendientes/{id_empleado},732,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:27
97,designs.php,GET,/disenos/terminados/{id_empleado},747,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:27
98,designs.php,PUT,/disenos/asign/{id_orden}/{empleado},763,2-escritura-manual,PENDIENTE,,
99,designs.php,PUT,/disenos/close/{id_orden}/{empleado},826,2-escritura-manual,PENDIENTE,,
100,designs.php,GET,/disenos/images/{id_orden},840,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:28
101,designs.php,GET,/revision/image/{id_revision},867,1-GET-auto,OK,"HTTP 200, respuesta no-JSON (revisar manualmente si es esperado)",2026-07-13 14:31:29
102,designs.php,GET,/migracion/nineteencustom,880,1-GET-auto,NO_APLICA_SCRIPT_MIGRACION,"Script de migracion de una sola vez con credenciales hardcodeadas para api_emp_3/api_emp_1, ya reportado aparte al usuario, fuera de alcance",2026-07-13 14:31:29
103,designs.php,DELETE,/disenos/images/{id_orden}/{image_name},996,2-escritura-manual,PENDIENTE,,
104,designs.php,POST,/disenos/imagen/{id_orden}/{id_diseno},1016,2-escritura-manual,PENDIENTE,,
105,employees.php,GET,/empleados,11,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:30
106,employees.php,POST,/empleados/activacion,222,2-escritura-manual,PENDIENTE,,
107,employees.php,POST,/empleados/nuevo,240,2-escritura-manual,PENDIENTE,,
108,employees.php,POST,/empleados/editar,345,2-escritura-manual,PENDIENTE,,
109,employees.php,POST,/empleados/eliminar,448,2-escritura-manual,PENDIENTE,,
110,employees.php,GET,/empleados/produccion/asignacion,482,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:31
111,employees.php,POST,/asistencias,503,2-escritura-manual,PENDIENTE,,
112,employees.php,GET,/asistencias/semanal,519,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:32
113,employees.php,GET,/asistencias/tabla/{fecha},595,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:32
114,employees.php,GET,/asistencias/reporte/resumen/{fecha_inicio}/{fecha_fin},705,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:33
115,employees.php,GET,/empleados/dashboard-stats/{id_empleado}/{id_departamento},838,1-GET-auto,CORREGIDO,"TO_CHAR(MAX(p.moment),'Day') en vez de TO_CHAR(p.moment,...) para satisfacer GROUP BY estricto (GROUP BY solo tenia p.moment::date). Verificado en vivo: HTTP 200 con estructura completa.",2026-07-13 14:48:29
116,finance.php,GET,/reporte-de-pagos[/{inicio}/{fin}/{id_vendedor}],13,1-GET-auto,OK_FALSO_POSITIVO,"Mi script de prueba uso '1' como parametro inicio/fin (no reconocidos como fecha). Con fecha real (2026-07-01) el endpoint funciona correctamente, sin error embebido. No requiere cambios de codigo.",2026-07-13 14:52:35
117,finance.php,GET,/cierre-de-caja/{id_vendedor},331,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:41
118,finance.php,POST,/cierre-de-caja-vendedor,391,2-escritura-manual,PENDIENTE,,
119,finance.php,GET,/reporte-de-caja/{inicio}/{fin}/{id_vendedor},426,1-GET-auto,CORREGIDO,moment::text LIKE en rama pgsql (7 subconsultas afectadas via $whereBase). Verificado en vivo con fecha real: 0 errores embebidos.,2026-07-13 14:53:50
120,finance.php,POST,/retiro,522,2-escritura-manual,PENDIENTE,,
121,finance.php,POST,/otro-abono,620,2-escritura-manual,PENDIENTE,,
122,finance.php,GET,/retiros/{inicio}/{fin}/{id_empleado},740,1-GET-auto,OK_FALSO_POSITIVO,"Mismo problema de parametro de prueba que id 116. Con fecha real funciona correctamente, sin error embebido.",2026-07-13 14:52:35
123,finance.php,GET,/pagos-ordenes/{fecha},818,1-GET-auto,CORREGIDO,moment::text LIKE en rama pgsql. Verificado en vivo: 0 errores embebidos.,2026-07-13 14:53:50
124,finance.php,GET,/balance-de-cierres/{inicio}/{fin}/{id_vendedor},833,1-GET-auto,OK_FALSO_POSITIVO,"Mismo problema de parametro de prueba que id 116. Con fecha real funciona correctamente, sin error embebido.",2026-07-13 14:52:35
125,geografia.php,GET,/catalogo-paises,10,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:45
126,geografia.php,GET,/catalogo-estados/{id_pais},595,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:45
127,geografia.php,GET,/catalogo-ciudades/{id_estado},615,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:46
128,inventory.php,GET,/api/inventario/template-excel,13,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:48
129,inventory.php,GET,/api/products/template-excel-test,245,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:49
130,inventory.php,POST,/api/products/bulk-load,277,2-escritura-manual,PENDIENTE,,
131,inventory.php,POST,/api/inventario/bulk-load,380,2-escritura-manual,PENDIENTE,,
132,inventory.php,GET,/api/products/template-excel,511,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:50
133,inventory.php,GET,/reporte/insumos-cosumidos-por-orden[/{id_orden}[/{fecha_inicio}[/{fecha_fin}]]],669,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:50
134,inventory.php,GET,/insumos,893,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:51
135,inventory.php,GET,/insumos/{id_insumo},909,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:52
136,inventory.php,POST,/insumos/nuevo,925,2-escritura-manual,PENDIENTE,,
137,inventory.php,POST,/insumos/editar,1011,2-escritura-manual,PENDIENTE,,
138,inventory.php,POST,/insumos/eliminar,1057,2-escritura-manual,PENDIENTE,,
139,inventory.php,GET,/inventario-movimientos/{id_orden}/{id_empleado},1075,1-GET-auto,CORREGIDO,Quitado filtro invalido id_empleado sobre ordenes_productos (columna nunca existio en ningun motor). Verificado en vivo: 0 errores.,2026-07-13 14:59:29
140,inventory.php,GET,/inventario/historial/{id_orden},1093,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:54
141,inventory.php,POST,/inventario-movimientos/nuevo,1108,2-escritura-manual,PENDIENTE,,
142,inventory.php,POST,/inventario-movimientos/piezas-cortadas,1171,2-escritura-manual,PENDIENTE,,
143,inventory.php,POST,/inventario-movimientos/empleados/update-insumo,1189,2-escritura-manual,PENDIENTE,,
144,inventory.php,POST,/inventario-movimientos/update-insumo,1587,2-escritura-manual,PENDIENTE,,
145,inventory.php,POST,/inventario-movimientos/update-prioridad,1651,2-escritura-manual,PENDIENTE,,
146,inventory.php,POST,/inventario-movimientos/eliminar,1669,2-escritura-manual,PENDIENTE,,
147,inventory.php,GET,/insumos/reporte/orden/{id},1686,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:54
148,inventory.php,GET,/insumos/reporte/insumos/{id},1726,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:55
149,inventory.php,GET,/insumos/reporte/insumos/producto/{id_producto},1762,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:56
150,inventory.php,GET,/inventario/{departamento},1852,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:56
151,inventory.php,GET,/inventario-tintas,1953,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:57
152,inventory.php,GET,/inventario/eficiencia/{id_orden}/{id_departamento},1988,1-GET-auto,CORREGIDO,"Agregado GROUP BY faltante (a.name, a.id_woo, b.valor_inicial, b.valor_final, c.cantidad) solo en rama pgsql. Verificado en vivo: 0 errores.",2026-07-13 14:59:30
153,inventory.php,GET,/eficiencia-orden/{id_orden},2019,1-GET-auto,CORREGIDO,"3 fixes: CAST sizes._id/id_size a varchar (x3), IF()->CASE WHEN universal, GROUP BY faltante en segunda query. Verificado en vivo: 0 errores.",2026-07-13 14:59:30
154,inventory.php,POST,/empleados/eficiencia,2094,2-escritura-manual,PENDIENTE,,
155,inventory.php,GET,/inventario/consumo/{id_insumo},2145,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:00
156,inventory.php,PATCH,/inventario/consumo/{id_movimiento},2227,2-escritura-manual,PENDIENTE,,
157,inventory.php,GET,/inventario/consumo/{id_movimiento}/historial,2392,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:00
158,inventory.php,GET,/api/inventario/remanentes,2494,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:01
159,inventory.php,PUT,/api/inventario/remanentes/{id},2614,2-escritura-manual,PENDIENTE,,
160,inventory.php,DELETE,/api/inventario/remanentes/{id},2707,2-escritura-manual,PENDIENTE,,
161,inventory.php,GET,/inventario/reportes/movimientos,2761,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:02
162,inventory.php,GET,/inventario/reportes/general,2838,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:03
163,inventory.php,GET,/inventario/reportes/graficos-consumo,3157,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:04
164,inventory.php,GET,/inventario/movimientos/{id}/historial,3238,1-GET-auto,CORREGIDO,"Columna 'moment' no existe (nunca existio en ningun motor), nombre real fecha_modificacion. Fix universal, no requiere DB_DRIVER. Verificado en vivo: 0 errores.",2026-07-13 14:59:30
165,inventory.php,GET,/api/inventario/carga-directa,3273,1-GET-auto,OK,"HTTP 200, respuesta no-JSON (revisar manualmente si es esperado)",2026-07-13 14:32:05
166,inventory.php,POST,/api/inventario/carga-directa,3839,2-escritura-manual,PENDIENTE,,
167,machine_services.php,GET,/servicios-maquinas,13,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:06
168,machine_services.php,POST,/servicios-maquinas,60,2-escritura-manual,PENDIENTE,,
169,machine_services.php,PUT,/servicios-maquinas/{id},87,2-escritura-manual,PENDIENTE,,
170,machine_services.php,DELETE,/servicios-maquinas/{id},112,2-escritura-manual,PENDIENTE,,
171,manufacturing.php,POST,/lotes,20,2-escritura-manual,PENDIENTE,,
172,manufacturing.php,POST,/lotes/{id}/iniciar,79,2-escritura-manual,PENDIENTE,,
173,manufacturing.php,POST,/lotes/{id}/terminar,155,2-escritura-manual,PENDIENTE,,
174,manufacturing.php,POST,/revision/nuevo,251,2-escritura-manual,PENDIENTE,,
175,manufacturing.php,POST,/revision/nuevo,323,2-escritura-manual,PENDIENTE,,
176,manufacturing.php,GET,/revision/diseno/{id_empleado},394,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:06
177,manufacturing.php,GET,/revisiones/estatus/{id_revision},426,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:07
178,manufacturing.php,GET,/revision/trabajos,451,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:08
179,manufacturing.php,GET,/revision/actualizar-estatus-de-pago/{estatus}/{id_pago},468,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:09
180,manufacturing.php,POST,/empleados/tareas,487,2-escritura-manual,PENDIENTE,,
181,manufacturing.php,POST,/empleados/tintas,538,2-escritura-manual,PENDIENTE,,
182,manufacturing.php,POST,/insumos/rendimiento,574,2-escritura-manual,PENDIENTE,,
183,manufacturing.php,POST,/registrar-paso-empleado,634,2-escritura-manual,PENDIENTE,,
184,manufacturing.php,POST,/lotes/empleados/eliminar,1181,2-escritura-manual,PENDIENTE,,
185,manufacturing.php,POST,/lotes/empleados/reasignar_old,1219,2-escritura-manual,PENDIENTE,,
186,manufacturing.php,POST,/lotes/get-detalles,1300,2-escritura-manual,PENDIENTE,,
187,manufacturing.php,POST,/lotes/update/cantidad,1316,2-escritura-manual,PENDIENTE,,
188,manufacturing.php,POST,/lotes/update/prioridad,1379,2-escritura-manual,PENDIENTE,,
189,manufacturing.php,GET,/lotes-fisicos/tabla-editar,1398,1-GET-auto,EN_PROGRESO,investigando: column eliminado does not exist,2026-07-13 14:59:38
190,manufacturing.php,POST,/lotes-fisicos/tabla-editar-filter,1430,2-escritura-manual,PENDIENTE,,
191,manufacturing.php,POST,/lotes-fisicos/eliminar,1480,2-escritura-manual,PENDIENTE,,
192,manufacturing.php,POST,/lotes-fisicos/update,1499,2-escritura-manual,PENDIENTE,,
193,manufacturing.php,GET,/lotes/activos,1518,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:10
194,manufacturing.php,GET,/lotes/fisicos,1535,1-GET-auto,CODIGO_MUERTO_CANDIDATO,"lotes_fisicos.id_inventario NUNCA existio en ningun motor (ni MySQL ni Postgres). Cero uso real: 0 hits en app_multi/msg_ninesys/ninesys-cdn y 0 en logs de produccion. No se corrige (no hay columna real que mapear) - candidato a eliminar, pendiente de autorizacion del usuario.",2026-07-13 15:01:56
195,manufacturing.php,GET,/lotes/existencia/{talla}/{tela}/{corte}/{categoria},1549,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:12
196,manufacturing.php,POST,/lotes/{id}/finalizar-departamento,1610,2-escritura-manual,PENDIENTE,,
197,manufacturing.php,POST,/lotes/activos,1877,2-escritura-manual,PENDIENTE,,
198,manufacturing.php,POST,/lotes/{id}/finalizar-impresion,1978,2-escritura-manual,PENDIENTE,,
199,manufacturing.php,POST,/lotes/{id}/finalizar-corte,2161,2-escritura-manual,PENDIENTE,,
200,manufacturing.php,POST,/empleados/registrar-paso/{tipo}/{departamento}/{id_lotes_detalles}/{unidades},2420,2-escritura-manual,PENDIENTE,,
201,manufacturing.php,POST,/empleados/registrar-paso-por-lotes/{departamento},2575,2-escritura-manual,PENDIENTE,,
202,manufacturing.php,GET,/empleados/registrar-pago/{id_lotes_detalles},2738,1-GET-auto,EN_PROGRESO,investigando: syntax error at or near ),2026-07-13 15:02:03
203,manufacturing.php,GET,/empleados/ordenes-asignadas/v1/{id_empleado},2758,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:14
204,manufacturing.php,POST,/pausas,2802,2-escritura-manual,PENDIENTE,,
205,manufacturing.php,GET,/ordenes/proyeccion-entrega,2853,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:15
206,manufacturing.php,GET,/empleados/mi-asignacion/{id_orden}/{id_empleado},2991,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:15
207,manufacturing.php,GET,/empleados/ordenes-asignadas/v2/{id_empleado}/{id_departamento}/{orden_proceso},3093,1-GET-auto,EN_PROGRESO,investigando: operator does not exist integer = character varying (sizes._id vs talla ya conocido),2026-07-13 15:02:44
208,manufacturing.php,GET,/sse/empleados/ordenes-asignadas/{id_empleado},3359,1-GET-auto,OK,"HTTP 200, respuesta no-JSON (revisar manualmente si es esperado)",2026-07-13 14:32:23
209,manufacturing.php,GET,/empleados-todos,3470,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:24
210,manufacturing.php,GET,/reports/input-efficiency/{id_ordenes},3634,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:25
211,manufacturing.php,GET,/reports/manufacturing-time,3745,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:26
212,manufacturing.php,POST,/reports/manufacturing-time,4092,2-escritura-manual,PENDIENTE,,
213,manufacturing.php,GET,/empleados/terminadas-hoy/{id_empleado}/{id_departamento},4406,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:26
214,manufacturing.php,GET,/empleados/unpaid-orders/{id_empleado}/{id_departamento},4436,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:27
215,msg_service.php,GET,/internal/db-credentials/{id_empresa},28,1-GET-auto,OK,"HTTP 401, sin error embebido",2026-07-13 14:32:28
216,msg_service.php,GET,/internal/business-hours,168,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:28
217,msg_service.php,GET,/internal/ping,350,1-GET-auto,OK,"HTTP 401, sin error embebido",2026-07-13 14:32:29
218,msg_service.php,GET,/internal/catalog-test,376,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:30
219,msg_service.php,GET,/internal/catalog-test/{id},396,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:31
220,msg_service.php,GET,/internal/catalog/{id_empresa},456,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:32:31
221,msg_service.php,GET,/internal/cliente/{id_empresa}/by-phone,663,1-GET-auto,OK,"HTTP 400, sin error embebido",2026-07-13 14:32:32
222,msg_service.php,GET,/internal/ordenes/{id_empresa}/by-phone,779,1-GET-auto,OK,"HTTP 400, sin error embebido",2026-07-13 14:32:33
223,msg_service.php,POST,/internal/cliente/{id_empresa},925,2-escritura-manual,PENDIENTE,,
224,msg_service.php,PATCH,/internal/presupuesto/{id_presupuesto}/vendedor,1032,2-escritura-manual,PENDIENTE,,
